[INFO 10:06:52 a. m.] miguelsolorio.symbols activated
[INFO 10:06:52 a. m.] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:06:52 a. m.] symbols.folders.associations changed, updating to undefined
[INFO 10:06:52 a. m.] symbols.files.associations changed, updating to undefined
[INFO 10:06:53 a. m.] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:06:53 a. m.] symbols.folders.associations changed, updating to undefined
[INFO 10:06:53 a. m.] symbols.files.associations changed, updating to undefined
[INFO 10:07:18 a. m.] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:07:18 a. m.] symbols.folders.associations changed, updating to undefined
[INFO 10:07:18 a. m.] symbols.files.associations changed, updating to undefined
